Time,longitude,latitude
101,116.34963,39.94178
102,116.49362,39.9271
103,116.39147,39.98693
104,116.42893,39.92998
105,116.2736,39.87058
106,116.43908,39.8925
107,116.26927,39.92385
108,116.29743,39.92262
109,116.31933,40.03425
110,116.47182,39.90897
111,116.43025,39.90613
112,116.32052,39.90617
113,116.48273,39.98728
114,116.32192,40.0545
115,116.44781,39.88271
116,116.4719,39.91355
117,116.41154,39.91754
118,116.44416,39.92253
119,116.4688,39.93664
120,116.41248,39.89922
121,116.36442,39.94697
122,116.30833,39.9224
123,116.47032,39.97737
124,116.31801,39.95016
125,116.31672,39.89563
126,116.46415,39.89316
127,116.46641,39.9727
128,116.70897,40.12278
129,116.41154,39.90843
130,116.48385,39.92026
131,116.38879,39.90611
132,116.39513,39.87785
133,116.45513,39.89428
134,116.37062,39.85549
135,116.36752,39.91026
136,116.37325,39.93593
137,116.35064,39.8997
138,116.45439,39.86987
139,116.40912,39.8996
140,116.43105,39.9616
141,116.3283,39.96235
142,116.32793,39.9257
143,116.36368,39.86917
144,116.36048,39.9392
145,116.3182,39.90622
146,116.40332,40.00412
147,116.4636,39.91568
148,116.23508,39.90615
149,116.45548,39.9055
150,116.44158,39.9218
151,116.46022,39.90658
152,116.51392,39.97657
153,116.49235,39.9581
154,116.45982,39.95667
155,116.3648,39.8448
156,116.40182,39.95305
157,116.22353,39.89857
158,116.34391,39.94327
159,116.33848,39.74139
160,116.37207,39.96733
161,116.27513,39.94968
162,116.30629,39.90729
163,116.30415,39.93604
164,116.26786,39.93994
165,116.41926,39.87004
166,116.38807,39.88489
167,116.27734,39.91165
168,116.32267,40.05363
169,116.3958,39.97393
170,116.41918,39.90697
171,116.50042,40.00573
172,116.30215,39.97798
173,116.43047,40.03098
174,116.47625,40.00428
175,116.4648,39.8919
176,116.5075,39.93283
177,116.36138,39.9653
178,116.4568,39.99572
179,116.44473,39.93235
180,116.31673,39.95939
181,116.41461,39.88312
182,116.30012,39.90596
183,116.34015,39.90573
184,116.21441,39.87416
185,116.31654,39.86142
186,116.6262,39.8716
187,116.26687,39.87141
188,116.52335,39.91586
189,116.35981,39.90636
190,116.4753,39.96565
191,116.45535,39.91241
192,116.5532,40.08832
193,116.29362,39.97337
194,116.41068,39.93173
195,116.40577,39.98186
196,116.49204,39.95937
197,116.19113,39.91629
198,116.44453,39.90393
199,116.35617,39.9442
200,116.44926,39.88315
201,116.34093,39.87248
202,116.44192,39.93498
203,116.41887,39.90697
204,116.47617,39.98319
205,116.44372,39.94521
206,116.41059,39.90481
207,116.35857,39.90611
208,116.44543,39.90697
209,116.71662,39.92356
210,116.37064,39.97036
211,116.4055,39.90119
212,116.50606,39.92177
213,116.35325,39.8464
214,116.37254,39.9671
215,116.55849,40.06169
216,116.30001,39.90628
217,116.42985,39.85753
218,116.49686,39.99592
219,116.32864,39.90285
220,116.40565,39.88687
221,116.30789,39.86759
222,116.32993,39.96766
223,116.41152,39.97033
224,116.3511,39.91717
225,116.38842,39.94778
226,116.36833,39.88147
227,116.31562,39.90941
228,116.52801,40.02038
229,116.31715,39.90645
230,116.31934,39.93788
231,116.42063,39.90474
232,116.19092,39.84844
233,116.42801,39.92337
234,116.57264,40.06046
235,116.36237,39.92069
236,116.34026,39.92203
237,116.36247,39.92075
238,116.39073,39.90631
239,116.30436,39.93062
240,116.37667,39.92133
241,116.47579,39.98221
242,116.54692,40.02692
243,116.44422,39.93719
244,116.41884,39.85689
245,116.57021,40.06065
246,116.40309,39.87076
247,116.44456,39.95862
248,116.46651,39.89249
249,116.25611,39.92805
250,116.3185,39.96597
251,116.38749,39.85583
252,116.47193,39.9121
253,116.48367,39.90437
254,116.18053,39.92409
255,116.44864,39.92415
256,116.46396,39.96968
257,116.36044,39.93702
258,116.58279,40.07932
259,116.52555,39.9403
260,116.36758,39.90572
261,116.47125,39.86993
262,116.41835,39.98205
263,116.43058,39.85832
264,116.4568,39.98907
265,116.3539,39.92215
266,116.4303,39.86718
267,116.33142,39.89775
268,116.45509,39.91744
269,116.42847,39.92344
270,116.47203,39.92708
271,116.43482,39.92271
272,116.49715,39.92194
273,116.47355,39.904
274,116.30487,39.979
275,116.38425,39.85149
276,116.32091,39.9879
277,116.42965,39.96371
278,116.38609,39.85224
279,116.35759,39.87937
280,116.42278,39.88989
281,116.39058,39.88212
282,116.43289,39.84937
283,116.40069,39.87065
284,116.42637,39.92816
285,116.48858,39.8261
286,116.46801,39.92198
287,116.46563,39.97135
288,116.25382,39.92277
289,116.22443,39.90614
290,116.19244,39.92989
291,116.34224,39.89436
292,116.24696,39.91374
293,116.46514,39.90733
294,116.26766,39.91648
295,116.26594,39.90173
296,116.29761,39.98379
297,116.25243,39.9164
298,116.39442,39.86055
299,116.31925,39.96617
300,116.3149,39.88325
301,116.48329,39.95347
302,116.34065,39.84482
303,116.41279,39.86403
304,116.41118,39.99893
305,116.40605,39.85257
306,116.35866,39.85315
307,116.38149,39.84379
308,116.45571,39.94465
309,116.49927,39.86878
310,116.40044,40.02085
311,116.45536,39.8908
312,116.38117,39.8819
313,116.46066,40.00723
314,116.37492,39.94757
315,116.56248,39.92276
316,116.34805,39.97717
317,116.68416,39.91357
318,116.408,39.89159
319,116.47866,39.92257
320,116.54342,39.92273
321,116.48336,39.91372
322,116.45534,39.89939
323,116.46063,39.95939
324,116.26819,39.96885
325,116.48572,40.09349
326,116.42419,39.99388
327,116.42145,40.06258
328,116.39218,39.93194
329,116.41494,40.06047
330,116.40321,39.94763
331,116.34649,39.99754
332,116.43748,39.8923
333,116.60781,40.15219
334,116.42187,39.90708
335,116.50465,39.90654
336,116.45556,39.89382
337,116.45751,39.98459
338,116.44669,39.95489
339,116.55722,39.92304
340,116.3864,39.87013
341,116.25641,39.90619
342,116.54207,40.05763
343,116.43032,39.96802
344,116.47086,40.00068
345,116.33573,39.87845
346,116.34976,39.94282
347,116.45673,40.00319
348,116.4835,39.91247
349,116.4477,40.0082
350,116.4366,39.89607
351,116.44503,39.99476
352,116.3549,39.98585
353,116.42492,39.98502
354,116.58002,40.0792
355,116.46774,40.00738
356,116.40163,40.00407
357,116.44306,39.95358
358,116.47267,40.00471
359,116.2696,39.95531
360,116.45443,39.97606
361,116.48573,39.93251
362,116.43765,39.93208
363,116.31283,40.06776
364,116.41838,39.98208
365,116.35821,39.9447
366,116.42522,40.0781
367,116.3111,39.93102
368,116.28138,39.84092
369,116.32651,39.9507
370,116.42555,39.96798
371,116.39315,39.88517
372,116.58395,40.07791
373,116.34116,39.90593
374,116.4015,39.94774
375,116.42958,39.99231
376,116.48147,39.98801
377,116.42626,39.99227
378,116.42985,39.90334
379,116.58073,40.07388
380,116.29913,39.9851
381,116.30016,39.97478
382,116.35639,39.89795
383,116.64618,40.11617
384,116.36798,39.87742
385,116.30036,39.97447
386,116.2999,40.03395
387,116.22187,39.90266
388,116.25438,40.00479
389,116.3052,39.87411
390,116.39905,39.85699
391,116.37783,39.90233
392,116.34048,39.89637
393,116.48285,39.87326
394,116.42876,39.7879
395,116.40881,39.89975
396,116.39201,39.85737
397,116.41075,39.8014
398,116.42707,39.93907
399,116.38167,39.9759
400,116.28152,39.95705
401,116.34686,39.92141
402,116.33588,39.98475
403,116.37779,39.98109
404,116.46187,39.97188
405,116.41062,40.0351
406,116.41402,39.94797
407,116.32389,40.05283
408,116.42966,39.85782
409,116.3675,39.9227
410,116.21206,39.78612
411,116.32845,39.91304
412,116.28559,39.83023
413,116.50418,39.91538
414,116.35033,39.9231
415,116.45664,39.90544
416,116.58092,40.07835
417,116.39586,39.81062
418,116.45955,39.95846
419,116.50724,39.93277
420,116.30751,39.95666
421,116.25672,39.9164
422,116.34317,39.92803
423,116.30941,39.96349
424,116.43265,39.89211
425,116.27698,39.89926
426,116.46714,39.92588
427,116.28975,39.92261
428,116.27356,39.98964
429,116.32723,39.90814
430,116.16307,39.77808
431,116.45715,39.98507
432,116.20488,39.83986
433,116.31309,39.95563
434,116.43035,39.90666
435,116.39293,39.98697
436,116.45631,40.01116
437,116.45913,39.95796
438,116.34964,39.92042
439,116.30746,39.88502
440,116.4125,39.96806
441,116.37999,39.96696
442,116.41167,39.89159
443,116.30123,39.96493
444,116.3222,40.05318
445,116.56299,40.07007
446,116.31472,39.92684
447,116.50187,39.92185
448,116.23683,39.99946
449,116.32892,39.91279
450,116.28966,39.9574
451,116.39672,39.91385
452,116.27311,39.87217
453,116.38682,39.9673
454,116.30222,39.96089
455,116.26727,39.89731
456,116.37963,39.96163
457,116.5173,39.90725
458,116.27384,39.93986
459,116.31956,39.9272
460,116.48443,39.91433
461,116.42446,39.89581
462,116.40233,39.96804
463,116.49872,40.00216
464,116.57798,40.06218
465,116.3802,39.84413
466,116.45654,39.99384
467,116.46263,39.94533
468,116.51457,39.83541
469,116.35698,39.99993
470,116.39321,39.8361
471,116.48387,39.88311
472,116.46315,39.92938
473,116.34685,39.86704
474,116.4977,40.00122
475,116.33073,39.89598
476,116.43906,39.95989
477,116.40299,39.85555
478,116.54329,39.90854
479,116.42672,39.98748
480,116.51829,39.9079
481,116.4438,39.88313
482,116.35278,39.82984
483,116.56275,40.06786
484,116.47898,39.92168
485,116.54146,39.96852
486,116.38532,39.88845
487,116.4195,39.85683
488,116.33905,39.92212
489,116.51825,39.77632
490,116.5865,40.07908
491,116.45498,39.8893
492,116.44758,39.95805
493,116.42617,40.07278
494,116.37715,39.86955
495,116.33287,39.931
496,116.38822,39.97547
497,116.41673,39.89197
498,116.45955,40.0036
499,116.3531,39.96658
500,116.42524,39.95826
501,116.34334,39.94526
502,116.39686,39.96713
503,116.43907,39.96241
504,116.29633,39.92296
505,116.58313,40.10401
506,116.42274,39.93212
507,116.34441,39.95692
508,116.40747,39.85579
509,116.29344,39.89594
510,116.27776,39.96524
511,116.43285,39.92299
512,116.37014,39.8929
513,116.28891,39.88198
514,116.40832,39.85603
515,116.54906,40.0716
516,116.32857,39.96269
517,116.41369,39.88515
518,116.43442,39.90487
519,116.39481,39.88555
520,116.28621,39.83264
521,116.42324,39.90757
522,116.45923,39.91647
523,116.42061,39.90441
524,116.29875,39.90605
525,116.39355,39.88531
526,116.36049,39.86827
527,116.30334,39.94517
528,116.29511,39.92301
529,116.36536,39.86412
530,116.20029,39.82512
531,116.45498,39.91679
532,116.43661,39.86434
533,116.39643,39.88608
534,116.32933,39.86667
535,116.30826,39.88518
536,116.49304,39.99675
537,116.35859,39.85792
538,116.3387,39.97525
539,116.41244,39.94815
540,116.33419,39.86655
541,116.36576,39.94914
542,116.34325,39.87426
543,116.46556,39.99712
544,116.34996,39.94692
545,116.517,39.91591
546,116.40412,39.85566
547,116.33538,39.91905
548,116.41801,39.99452
549,116.3428,39.87879
550,116.38714,39.95006
551,116.34524,39.96636
552,116.30435,39.86713
553,116.28902,39.90732
554,116.34562,40.01949
555,116.45623,39.93268
556,116.48337,39.87414
557,116.41356,39.98423
558,116.27851,39.95112
559,116.41215,39.89286
560,116.28986,39.89577
561,116.35314,39.88797
562,116.59339,39.9078
563,116.39343,39.90058
564,116.38075,39.8486
565,116.42526,39.86461
566,116.39309,39.86772
567,116.36091,39.88773
568,116.45512,39.90626
569,116.3186,39.88321
570,116.31694,39.95789
571,116.46222,40.05655
572,116.35579,39.98607
573,116.40014,40.00471
574,116.4667,40.02283
575,116.36744,39.9134
576,116.20101,39.9237
577,116.45656,40.04705
578,116.30453,39.89466
579,116.45484,39.93239
580,116.30407,39.93499
581,116.58304,40.10512
582,116.35075,39.90821
583,116.58381,40.07913
584,116.45552,39.91391
585,116.39377,39.89042
586,116.24732,39.89582
587,116.16138,39.87604
588,116.21219,39.84287
589,116.28909,39.89775
590,116.46218,39.96085
591,116.3295,39.8476
592,116.28895,39.88969
593,116.38745,39.94532
594,116.23705,39.85875
595,116.32215,39.88872
596,116.58665,40.07693
597,116.38344,39.85562
598,116.29261,39.85658
599,116.3232,40.05419
600,116.37554,39.91009
601,116.34846,39.85082
602,116.224,39.9061
603,116.19992,39.84114
604,116.43954,39.87529
605,116.30107,39.96915
606,116.39721,39.93209
607,116.48398,39.94704
608,116.47654,39.98291
609,116.45332,39.90672
610,116.26084,39.90626
611,116.55039,40.07015
612,116.48557,39.87081
613,116.39865,40.00386
614,116.49379,39.96964
615,116.76428,40.14044
616,116.37575,39.92128
617,116.52081,40.0179
618,116.34255,39.88972
619,116.41175,39.96543
620,116.45343,39.95326
621,116.2706,39.96513
622,116.31595,39.96394
623,116.35814,39.90605
624,116.44626,39.98333
625,116.57769,40.11689
626,116.41877,39.96074
627,116.56721,40.07093
628,116.32779,39.96968
629,116.5008,40.0038
630,116.47167,39.90644
631,116.50598,40.02272
632,116.33948,39.93664
633,116.43639,39.94191
634,116.29563,39.94417
635,116.37658,39.90539
636,116.70155,40.12684
637,116.36314,39.93107
638,116.28691,39.89903
639,116.35597,39.88794
640,116.60804,40.11662
641,116.42724,39.9225
642,116.38406,39.92092
643,116.34553,39.89685
644,116.51402,39.92209
645,116.36806,39.87484
646,116.31651,39.88295
647,116.34692,40.02325
648,116.36946,39.9475
649,116.28497,39.84831
650,116.56888,40.03652
651,116.33233,39.89615
652,116.41708,39.91396
653,116.36019,39.90257
654,116.60913,39.86559
655,116.58422,40.05672
656,116.29167,39.9149
657,116.34349,39.94483
658,116.38683,39.96653
659,116.42729,39.93261
660,116.45342,39.90685
661,116.43778,39.87099
662,116.35828,39.90605
663,116.5216,39.92254
664,116.31531,39.96529
665,116.4513,39.99575
666,116.33422,39.9127
667,116.47091,39.97954
668,116.3149,39.94486
669,116.57203,40.04004
670,116.41277,39.86969
671,116.4755,40.0026
672,116.22343,39.89593
673,116.58258,40.06304
674,116.38753,39.95013
675,116.18341,39.9062
676,116.32304,39.78297
677,116.40337,39.87078
678,116.45302,39.9836
679,116.3129,39.89557
680,116.47675,40.00935
681,116.29948,39.9827
682,116.34303,40.02783
683,116.4442,39.9436
684,116.58442,39.92388
685,116.34908,39.93697
686,116.34618,40.00678
687,116.36895,39.88803
688,116.33699,39.891
689,116.39193,39.8898
690,116.59819,39.89748
691,116.3477,39.87416
692,116.36691,39.98616
693,116.34768,39.87423
694,116.38138,39.87648
695,116.39834,39.99287
696,116.41272,39.89183
697,116.42833,39.88294
698,116.32508,39.82946
699,116.44447,39.9255
700,116.35887,39.96651
701,116.4212,39.85694
702,116.41892,39.95189
703,116.40109,39.99193
704,116.36998,39.89851
705,116.30388,39.9162
706,116.32667,39.85371
707,116.4761,39.9638
708,116.55145,39.92302
709,116.2921,39.78532
710,116.30625,39.86738
711,116.56689,40.0706
712,116.30974,39.98412
713,116.31607,39.81755
714,116.30323,39.97456
715,116.28492,39.95668
716,116.33229,39.93669
717,116.21616,39.93182
718,116.41891,39.90777
719,116.34634,39.96647
720,116.26962,39.90649
721,116.41248,39.95447
722,116.34726,39.93288
723,116.2585,39.89372
724,116.35341,39.92242
725,116.59007,39.91095
726,116.37303,39.95472
727,116.42777,39.93714
728,116.26803,39.93615
729,116.30513,39.93109
730,116.34923,39.93877
731,116.44915,39.97987
732,116.42006,39.92545
733,116.48392,40.0051
734,116.31422,39.9754
735,116.34096,39.9382
736,116.53057,39.91527
737,116.63848,39.92176
738,116.73172,39.97645
739,116.37727,39.86962
740,116.49947,40.007
741,116.47119,39.88416
742,116.37311,39.95933
743,116.41511,39.98726
744,116.58155,40.07692
745,116.46824,39.92971
746,116.75367,40.13605
747,116.45544,39.93179
748,116.37579,39.89869
749,116.37107,39.92319
750,116.33584,39.76516
751,116.42069,39.92315
752,116.36816,39.89338
753,116.25864,39.92355
754,116.44414,39.92914
755,116.3939,39.8647
756,116.50044,39.91485
757,116.45762,40.01369
758,116.3605,39.94554
759,116.33904,39.80549
760,116.42149,39.92302
761,116.58409,40.07652
762,116.39224,39.92187
763,116.41938,39.94037
764,116.4539,39.92191
765,116.36517,39.84893
766,116.51173,39.97661
767,116.40169,39.95612
768,116.304,39.9354
769,116.39011,39.9062
770,116.34002,39.95671
771,116.30822,39.82949
772,116.30192,39.96338
773,116.35363,39.91163
774,116.58236,40.07483
775,116.30502,39.89581
776,116.24674,39.92991
777,116.29149,39.83235
778,116.34245,39.91264
779,116.46035,39.98217
780,116.2539,39.916
781,116.43004,39.93775
782,116.4045,39.93968
783,116.45151,39.9966
784,116.61199,40.11645
785,116.40042,39.90363
786,116.45562,39.90632
787,116.41569,39.86159
788,116.4631,39.84255
789,116.38121,39.90294
790,116.40476,40.06974
791,116.45106,39.95106
792,116.31815,39.92226
793,116.39391,39.85326
794,116.46049,39.88471
795,116.48682,39.95769
796,116.37014,39.90796
797,116.41356,39.88506
798,116.33623,39.89782
799,116.42166,39.90345
800,116.3946,39.92199
801,116.4555,39.9322
802,116.39196,39.87021
803,116.42437,39.86386
804,116.38793,39.88211
805,116.34144,39.91356
806,116.30702,39.82645
807,116.47036,39.88306
808,116.41923,39.93967
809,116.53042,39.90807
810,116.31928,39.92685
811,116.37034,39.992
812,116.37021,39.90287
813,116.29472,39.90625
814,116.43834,39.9323
815,116.26767,39.89973
816,116.50824,40.00981
817,116.33996,39.8885
818,116.4999,39.99967
819,116.37362,39.98555
820,116.41141,39.97037
821,116.41366,39.8959
822,116.43974,39.98463
823,116.3621,39.97904
824,116.48365,39.93687
825,116.63639,40.03725
826,116.51639,40.02345
827,116.34683,39.86664
828,116.50016,39.95993
829,116.44217,39.94761
830,116.42489,39.8856
831,116.39459,39.83563
832,116.38697,39.8805
833,116.45533,39.93258
834,116.47652,39.85856
835,116.41376,39.8995
836,116.25466,39.92325
837,116.45693,39.90658
838,116.37352,39.99613
839,116.43402,39.8884
840,116.59188,39.9142
841,116.44336,39.92148
842,116.33148,39.88836
843,116.418,39.98289
844,116.31421,40.07005
845,116.37804,39.83256
846,116.3706,39.94766
847,116.30497,40.11131
848,116.3987,39.92785
849,116.53092,40.02143
850,116.55102,40.07542
851,116.58401,40.07833
852,116.46905,39.83948
853,116.55831,39.93181
854,116.57887,40.12672
855,116.46581,39.99826
856,116.66331,40.11748
857,116.34601,39.96645
858,116.25864,39.92694
859,116.25161,39.94563
860,116.37664,39.98085
861,116.35346,39.91037
862,116.41179,39.96717
863,116.30534,39.95567
864,116.31219,39.97274
865,116.34431,39.89648
866,116.36609,39.943
867,116.43696,39.92562
868,116.53596,40.0544
869,116.4274,39.83094
870,116.57088,39.9134
871,116.39973,39.92745
872,116.45596,39.9052
873,116.64291,39.89205
874,116.46711,40.00595
875,116.50008,40.00558
876,116.38885,39.89883
877,116.58524,40.07991
878,116.45522,39.91702
879,116.36887,39.85585
880,116.41469,40.05025
881,116.45909,39.98663
882,116.39859,39.86048
883,116.46842,39.90682
884,116.46083,40.01485
885,116.51162,39.91548
886,116.40094,39.92291
887,116.63566,39.9209
888,116.42005,39.96815
889,116.51141,39.92222
890,116.47523,40.01909
891,116.45641,39.9649
892,116.58137,40.07033
893,116.45561,39.90631
894,116.25872,39.91746
895,116.30452,39.88348
896,116.34115,39.93103
897,116.35441,40.02175
898,116.36055,39.96622
899,116.30389,39.91484
900,116.37342,39.98144
901,116.3481,39.917
902,116.37272,39.97431
903,116.30937,39.90616
904,116.39474,39.987
905,116.36283,39.9922
906,116.30985,39.8578
907,116.21758,39.89696
908,116.37212,39.98489
909,116.47527,39.79928
910,116.3017,39.9624
911,116.21068,39.8955
912,116.40036,39.91666
913,116.36699,39.83027
914,116.44845,39.92556
915,116.35579,39.77649
916,116.40545,39.90673
917,116.37908,39.76899
918,116.35163,39.91621
919,116.37512,39.76819
920,116.15869,39.92335
921,116.37287,39.77775
922,116.42712,39.93883
923,116.39104,39.88985
924,116.33177,39.82178
925,116.56532,40.07211
926,116.37875,39.86968
927,116.43824,39.8964
928,116.47133,39.88259
929,116.42064,39.90389
930,116.38259,39.85931
931,116.44,39.9909
932,116.53432,40.05296
933,116.50183,40.00703
934,116.42861,39.92276
935,116.33292,39.86002
936,116.32693,39.93109
937,116.32729,39.88857
938,116.39498,39.8905
939,116.45817,39.87016
940,116.41604,39.85577
941,116.38532,39.9051
942,116.28204,39.94631
943,116.34942,39.92206
944,116.30533,39.90771
945,116.31838,39.93105
946,116.2985,39.9594
947,116.34604,39.93935
948,116.36326,39.98272
949,116.30855,39.98405
950,116.44662,39.80536
951,116.36264,39.93118
952,116.35383,39.88141
953,116.34644,39.9081
954,116.34033,39.79666
955,116.3612,39.86917
956,116.36988,39.93134
957,116.36511,39.85318
958,116.41241,39.89908
959,116.37185,39.98648
960,116.33027,40.02657
961,116.26923,39.9065
962,116.23821,39.92833
963,116.37335,39.95274
964,116.29557,39.94081
965,116.32747,39.96617
966,116.21831,39.84476
967,116.31994,39.88867
968,116.4202,39.91754
969,116.3364,39.93678
970,116.41505,39.86416
971,116.41608,39.96798
972,116.42795,39.93205
973,116.25035,39.89579
974,116.33009,39.91263
975,116.28436,39.8135
976,116.31202,39.97958
977,116.34343,39.90556
978,116.34217,39.86557
979,116.40202,39.9441
980,116.37949,39.8038
981,116.46898,39.92955
982,116.42913,39.92318
983,116.35041,39.91893
984,116.45974,39.98697
985,116.35936,39.98359
986,116.48912,40.01226
987,116.3362,39.82162
988,116.43352,39.87253
989,116.48932,39.90666
990,116.42255,39.94199
991,116.33715,39.90585
992,116.47203,39.90974
993,116.42976,39.94803
994,116.39617,39.92197
995,116.36129,39.92254
996,116.36834,39.84587
997,116.40024,39.9187
998,116.42808,39.96853
999,116.30376,39.94445
1000,116.55282,40.08604
1001,116.38539,39.89897
1002,116.3329,39.9675
1003,116.41389,39.91567
1004,116.59379,40.14389
1005,116.43571,39.92268
1006,116.45707,39.97419
1007,116.40424,39.88721
1008,116.56072,40.11533
1009,116.31904,39.94107
1010,116.27794,39.91166
1011,116.28555,39.89605
1012,116.21195,39.89789
1013,116.4145,39.89199
1014,116.32029,39.90965
1015,116.20897,39.89849
1016,116.35207,39.89938
1017,116.26457,39.89557
1018,116.40487,39.96766
1019,116.47902,39.96986
1020,116.44932,39.93548
1021,116.38046,39.83733
1022,116.36544,39.96631
1023,116.57109,39.9091
1024,116.4766,39.96818
1025,116.4075,39.90716
1026,116.41055,39.94001
1027,116.45635,39.92176
1028,116.41943,39.95797
1029,116.41391,39.90731
1030,116.5356,40.05403
1031,116.46188,39.95001
1032,116.41057,39.98606
1033,116.32915,39.91714
1034,116.41939,39.93932
1035,116.35069,39.90326
1036,116.3744,39.84914
1037,116.4584,39.90322
1038,116.39579,39.96613
1039,116.58289,40.07948
1040,116.46137,39.86092
1041,116.35435,39.90423
1042,116.43896,39.96257
1043,116.47572,39.86656
1044,116.33308,39.96718
1045,116.43271,39.86466
1046,116.45504,39.91788
1047,116.39417,39.8704
1048,116.44226,39.85789
1049,116.43265,39.95826
1050,116.30392,39.88865
1051,116.47675,39.99112
1052,116.43381,39.86451
1053,116.37716,39.85549
1054,116.6414,40.11621
1055,116.33671,39.96606
1056,116.42359,39.95604
1057,116.42692,39.93951
1058,116.55826,40.03124
1059,116.47133,39.88174
1060,116.37571,39.967
1061,116.33874,39.91676
1062,116.43906,39.96023
1063,116.45542,39.92172
1064,116.44806,39.97998
1065,116.534,39.90871
1066,116.40158,39.8708
1067,116.67667,39.88433
1068,116.44399,39.89797
1069,116.55527,39.74938
1070,116.46027,39.87006
1071,116.54246,39.73699
1072,116.52244,39.92137
1073,116.4116,39.91393
1074,116.16138,39.92295
1075,116.28906,39.90111
1076,116.35031,39.90669
1077,116.32323,39.98432
1078,116.27766,39.89605
1079,116.22614,39.93055
1080,116.19234,39.91728
1081,116.41673,39.93217
1082,116.30376,39.93854
1083,116.40466,39.89954
1084,116.4013,39.9859
1085,116.45612,39.9122
1086,116.57743,39.7543
1087,116.35813,39.93104
1088,116.3527,40.01504
1089,116.27127,39.90621
1090,116.36895,39.93836
1091,116.26434,39.87022
1092,116.34135,39.97285
1093,116.45724,39.90728
1094,116.40381,39.8554
1095,116.48383,39.91528
1096,116.39675,39.87241
1097,116.41974,39.89921
1098,116.51247,39.89169
1099,116.50849,39.92186
1100,116.41873,39.96788
1101,116.42083,39.90367
1102,116.34674,39.9916
1103,116.31967,39.93601
1104,116.289,39.88286
1105,116.20268,39.83966
1106,116.34429,39.93842
1107,116.62422,40.08342
1108,116.3017,39.90532
1109,116.35066,39.899
1110,116.2308,39.85104
1111,116.34981,39.91254
1112,116.37315,39.89647
1113,116.32861,39.92698
1114,116.39494,39.98699
1115,116.33878,39.89666
1116,116.33846,39.84691
1117,116.3278,39.90583
1118,116.43363,39.89813
1119,116.31915,39.97108
1120,116.41183,39.8002
1121,116.45538,39.91681
1122,116.35792,39.91416
1123,116.40122,39.87157
1124,116.34742,39.985
1125,116.44592,39.949
1126,116.45397,39.9186
1127,116.35055,39.90242
1128,116.6581,39.8866
1129,116.45202,39.91628
1130,116.43803,39.96288
1131,116.45495,39.87637
1132,116.34692,39.9963
1133,116.39487,39.98727
1134,116.40985,39.90479
1135,116.47174,39.91484
1136,116.30823,39.89552
1137,116.35294,39.9788
1138,116.39495,39.89058
1139,116.43191,39.83093
1140,116.40164,39.94816
1141,116.41367,39.89988
1142,116.32221,39.93595
1143,116.32288,39.90051
1144,116.39592,39.9677
1145,116.28317,39.8315
1146,116.58039,40.07585
1147,116.47118,39.90686
1148,116.30031,39.97487
1149,116.38075,39.85485
1150,116.26751,39.90607
1151,116.34931,39.93694
1152,116.31381,39.90615
